aspects,language,wichtigsten,1.,junger,bester,internationaler,beste,besten,Everything,Everywhere,lustiger,wichtiges,anderes,neues,neuen
basic_forms,english,,,"jung : Adjective
das Junge : Noun
","beste : Adjective
gut : Adjective
der Beste : Noun
die Beste : Noun
","international : Adjective
",,"beste : Adjective
gut : Adjective
das Beste : Noun
die Beste : Noun
der Beste : Noun
",,,"lustig : Adjective
","wichtig : Adjective
","anderer : pronoun
","neu : Adjective
","neu : Adjective
"
basic_forms,german,,,,,,,,,,,,,,
verbs,english,,"to make it 1-0 [SPORT.]
to make it 1-0 [SPORT.]
","to breed | bred, bred |
to fawn | fawned, fawned |
to cast its young
to be so.'s junior (by ... years)
to face | faced, faced | [TECH.]
to feel like a spring chicken [fig.]
to bring out a young lady dated
to be getting a bit long in the tooth
to be getting on a bit [coll.]
","to come out on top
to come out on top
to encourage so. | encouraged, encouraged |
to score well
to do well
to come off well
to go down well
to be well received
to arrive safely
to turn out all right
to be a looker
to work well
to work out
to come up roses
",,"to make the best of sth.
to bring out the best in so.
to come out on top
to have a ball
to come off best
to get the best of the bargain
to have the best of it
to be a best seller
to hoax so. | hoaxed, hoaxed |
to hoax so. | hoaxed, hoaxed |
to come out on top
to stand in the forefront
to make the best of a bad job
to send so. best wishes for a speedy recovery
","to come off best
to get the best of the bargain
to have the best of it
to hoax so. | hoaxed, hoaxed |
to hoax so. | hoaxed, hoaxed |
to stand in the forefront
to encourage so. | encouraged, encouraged |
to score well
to do well
to come off well
to go down well
to be well received
to arrive safely
to turn out all right
","to put up with everything
to agree about everything
to agree about everything
to agree to everything
to catch up on everything
to stick one's nose into everything
to do everything by the book
to do everything in one's power
to have everything under control
",,"sth. is fun infinitive: to be fun
to deride so./sth. | derided, derided |
to make sport of so./sth.
to make fun of so./sth.
to scoff at so./sth.
to poke fun at so./sth.
to sneer at so./sth.
to mock so./sth. | mocked, mocked |
to give so. stick over (or: about) sth.
to jeer at so.
to tease so. | teased, teased |
to take the mick out of so./sth. (Brit.) [sl.]
to take the mickey out of so./sth. (Brit.) [sl.]
to take the piss out of so./sth. [sl.]
not to see the fun of sth.
","to make a good point
to be important
to be of importance
to care about sth.
to aggrandizeAE oneself to aggrandiseBE / aggrandizeBE oneself
to assume an air of importance
to concern so. | concerned, concerned |
to attach importance to sth.
to outrank so./sth. | outranked, outranked |
so. is not that fussed about sth. (Brit.)
to put forward good reasons
to show good cause
to put on an air of importance
to have other fish to fry
to have other fish to fry
to offer valuable clues to sth.
","to take so./sth. for so./sth. else
to pass off as so. else
to change channels/stations
to pretend to be so. else
to arrive in advance of the others
to change channels
to make all the difference
to disagree (about sth.) | disagreed, disagreed |
to beg to differ
to be of another opinion
to beg to differ
to dissent from
to look for a different station
to apply another standard
","to restart | restarted, restarted |
to reprocess | reprocessed, reprocessed |
to revalue | revalued, revalued |
to re-evaluate or: reevaluate | re-evaluated, re-evaluated / reevaluated, reevaluated |
to reappraise | reappraised, reappraised |
to rerate | rerated, rerated |
to reassess | reassessed, reassessed |
to reappraise | reappraised, reappraised |
to reclassify | reclassified, reclassified |
to reapportion | reapportioned, reapportioned |
to recoin | recoined, recoined | - remint
to restamp | restamped, restamped |
to repaper | repapered, repapered |
to repopulate | repopulated, repopulated |
","to restart | restarted, restarted |
to reprocess | reprocessed, reprocessed |
to revalue | revalued, revalued |
to re-evaluate or: reevaluate | re-evaluated, re-evaluated / reevaluated, reevaluated |
to reappraise | reappraised, reappraised |
to rerate | rerated, rerated |
to reassess | reassessed, reassessed |
to reappraise | reappraised, reappraised |
to reclassify | reclassified, reclassified |
to reapportion | reapportioned, reapportioned |
to recoin | recoined, recoined | - remint
to restamp | restamped, restamped |
to repaper | repapered, repapered |
to repopulate | repopulated, repopulated |
"
verbs,german,,"das 1:0 erzielen
zum 1:0 verwandeln [Football]
","Junge haben
Junge bekommen
Junge werfen
(... Jahre) jünger sein als jmd.
jünger anzeigen
sichacc. wieder jung fühlen
eine junge Dame in die Gesellschaft einführen
nicht mehr der Jüngste sein
nicht mehr der (or: die) Jüngste sein
","als Bester abschneiden
sichacc. als Bester erweisen
jmdm. gut zureden
gut abschneiden
gut abschneiden
gut abschneiden
gut ankommen
gut ankommen
gut ankommen
gut ausgehen
gut aussehen
gut funktionieren
gut laufen
gut werden
",,"das Beste aus etw.dat. machen
das Beste aus jmdm. herausholen
als Bester abschneiden
sichacc. bestens amüsieren
am besten davonkommen
am besten wegkommen
am besten wegkommen
sichacc. bestens verkaufen
jmdn. zum Besten halten
jmdn. zum Besten haben
sichacc. als Bester erweisen
zu den Besten gehören
das Beste daraus machen
jmdm. beste Genesungswünsche schicken
","am besten davonkommen
am besten wegkommen
am besten wegkommen
jmdn. zum Besten halten
jmdn. zum Besten haben
zu den Besten gehören
jmdm. gut zureden
gut abschneiden
gut abschneiden
gut abschneiden
gut ankommen
gut ankommen
gut ankommen
gut ausgehen
","sichdat. alles gefallen lassen
in jeder Hinsicht übereinkommen
in jeder Hinsicht zustimmen
allem zustimmen
alles nachholen
seine Nase in alles hineinstecken
den Amtsschimmel reiten
alles in seiner Macht Stehende tun
alles unter Kontrolle haben
",,"etw.nom. ist lustig infinitive: lustig sein
sichacc. über jmdn./etw. lustig machen
sichacc. über jmdn./etw. lustig machen
sichacc. über jmdn./etw. lustig machen
sichacc. über jmdn./etw. lustig machen
sichacc. über jmdn./etw. lustig machen
sichacc. über jmdn./etw. lustig machen
sichacc. über jmdn./etw. lustig machen
sichacc. über jmdn. lustig machen
sichacc. über jmdn. lustig machen
sichacc. über jmdn. lustig machen
sichacc. über jmdn./etw. lustig machen
sichacc. über jmdn./etw. lustig machen
sichacc. über jmdn./etw. lustig machen
etw.acc. gar nicht lustig finden
","auf etw.acc. Wichtiges hinweisen
wichtig sein
wichtig sein
etw.acc. wichtig nehmen
sichacc. wichtig machen
sichacc. wichtig geben
für jmdn. wichtig sein
etw.acc. für wichtig halten
wichtiger als jmd./etw. sein
jmdm. ist etw.nom. nicht so wichtig
wichtige Gründe vorbringen
wichtige Gründe vorbringen
eine wichtige Miene aufsetzen
wichtigere Dinge zu tun haben
Wichtigeres zu tun haben
wichtige Aufschlüsse über etw.acc. geben
","jmdn./etw. für jmdn./etw. anderes halten
sichacc. als ein anderer ausgeben
auf einen anderen Kanal/Sender umschalten
sichacc. für einen anderen ausgeben
vor den anderen ankommen
auf ein anderes Programm umschalten
etw.dat. ein ganz anderes Gesicht geben
(über etw.acc.) anderer Meinung sein
anderer Meinung sein
anderer Meinung sein
anderer Ansicht sein
anderer Meinung sein als
einen anderen Radiosender suchen
einen anderen Maßstab anlegen
","neu starten
neu bearbeiten
neu bewerten
neu bewerten
neu bewerten
neu bewerten
neu einschätzen
neu einschätzen
neu einteilen
neu einteilen
neu prägen
neu prägen
neu tapezieren
neu besiedeln
","neu starten
neu bearbeiten
neu bewerten
neu bewerten
neu bewerten
neu bewerten
neu einschätzen
neu einschätzen
neu einteilen
neu einteilen
neu prägen
neu prägen
neu tapezieren
neu besiedeln
"
nouns,english,,"first class
All Fools' Day
April Fool's (or: Fools') Day
First Sunday of (or: in) Advent [REL.]
1st regional manager trackwork [TECH.]
uncertainty phase [AVIAT.]
Formula One or: Formula 1 [abbr.: F1] [SPORT.]
precision method [TECH.]
light air [METEO.]
zone 1 [ELEC.]
studio apartment
cetyl alcohol [CHEM.]
ethal [CHEM.]
single-pulse inverter [TECH.]
","boy
youngster - boy
chick
offspring
lad [coll.] - boy
drop [ZOOL.]
hatchling [ZOOL.]
cub [ZOOL.]
man-child or: man child, manchild [poet.] - male child
brood
young used with pl. verb - offspring [ZOOL.]
the lads (Canad.; Brit.) [coll.] pl.
puppy
pup - baby dog
","pick of the bunch
the best
good/bad form - behaviour
good/bad form - behaviour
unbiased estimate
best estimate of the value
winning entry
best friend
best clothes
best suit
best pal
best place
best plan
best part
","International Women's Day [abbr.: IWD]
international airport
international aerodrome
International Council for Science [abbr.: ICSU]
commercial dealings
international tourism
International Wagon Union
international technology transfer
International Fellowship of Reconciliation
public health emergency of international concern [abbr.: PHEIC]
Express Mail Service [abbr.: EMS]
International Sailing Federation [abbr.: ISAF]
international standard
international agenda
","pick of the bunch
the best
best estimate
best friend
best score
best quality
first-rate quality
prime quality
top grade
first quality
best performance
best execution
bright prospects pl.
best conditions pl.
","pick of the bunch
the best
good/bad form - behaviour
good/bad form - behaviour
prime
the best ten
best estimate
best friend
best score
best quality
first-rate quality
prime quality
top grade
first quality
","theory of everything [abbr.: TOE] [PHYS.]
the internet of everything (or: Internet of Everything)
internet of everything [COMP.]
",,"funny tale
funny bone [fig.]
","important right
major product [COMM.]
bigwig
notability
somebody
important person
core principle
high impact area
key findings
key findings
key leader
key opinion leader [abbr.: KOL]
key message
key findings
","the others
alter ego
referral to another court [LAW]
parallel consumption of other drugs
inspection by other methods [TECH.]
legal entity of a different legal form [LAW]
holder of other credit cards [FINAN.]
interaction
off-site processing
jamming [TECH.]
IP spoofing [COMP.]
contact with other cargoes
sending goods to another country
beggar-my-neighborAE policy [ECON.]beggar-my-neighbourBE policy [ECON.]
","entrant
new member
initiate
baby brother - new-born brother
baby sister - new-born sister
new venture
new venture
recent field of research
new public management
new trading segment
new payment procedure
new business [COMM.]
New Testament [abbr.: NT] [REL.]
New Steering Model [abbr.: NSM] [POL.]
","newly-formed German states
New Year
new edition
reformulation
reanalysis - pl.: reanalyses
entrant
new member
initiate
reanimation
revalidation
new approach
expanded town
new town (Brit.)
reinterpretation
"
nouns,german,,"1. Klasse
der 1. April
der 1. April
erster Advent or: 1. Advent - Adventssonntag
1. Bezirksleiter Fahrbahn [abbr.: Bezl. Fb.] [Railroad (Amer.)/Railway (Brit.)]
Alarmstufe 1
die Formel 1 or: Formel Eins pl.: die Formeln [abbr.: F1]
Genauigkeitsklasse 1
Windstärke 1
Zone 1
die Einzimmerwohnung or: 1-Zimmer-Wohnung pl.: die Einzimmerwohnungen, die 1-Zimmer-Wohnungen
das 1-Hexadecanol
das 1-Hexadecanol
der 1-Puls-Wechselrichter [Railroad (Amer.)/Railway (Brit.)]
","der Junge pl.: die Jungen/die Jungs
der Junge pl.: die Jungen/die Jungs
das Junge (ein Junges) pl.: die Jungen/unbest.: Junge
das Junge (ein Junges) pl.: die Jungen/unbest.: Junge
der Junge pl.: die Jungen/die Jungs
das Junge (ein Junges) pl.: die Jungen/unbest.: Junge
das Junge (ein Junges) pl.: die Jungen/unbest.: Junge
das Junge (ein Junges) pl.: die Jungen/unbest.: Junge - Wolf, Bär, Löwe, Tiger
der Junge pl.: die Jungen/die Jungs
die Jungen pl.
die Jungen pl.
die Jungs pl. [coll.]
junger Hund
junger Hund
","der, die, das Beste pl.
der, die, das Beste pl.
gute/schlechte Manieren
gute/schlechte Umgangsformen pl.
bester Schätzwert
bester Schätzwert
bester Beitrag
bester Freund | beste Freundin
bester Anzug
bester Anzug
bester Freund
bester Ort
bester Plan
bester Teil
","Internationaler Frauentag - 8. März
internationaler Flughafen
internationaler Flughafen
Internationaler Wissenschaftsrat [abbr.: ICSU]
internationaler Handel
internationaler Tourismus
Internationaler Güterwagenverband
internationaler Technologietransfer
Internationaler Versöhnungsbund
internationaler Gesundheitsnotstand
Internationaler Schnellpostdienst
Internationaler Segelverband
Internationaler Standard
internationaler Termin
","der, die, das Beste pl.
der, die, das Beste pl.
beste Schätzung
bester Freund | beste Freundin
beste Note
beste Qualität
beste Qualität
beste Qualität
beste Qualität
beste Qualität
beste Aufführung
beste Ausführung
beste Aussichten pl.
beste Bedingungen pl.
","der, die, das Beste pl.
der, die, das Beste pl.
gute/schlechte Manieren
gute/schlechte Umgangsformen pl.
die besten Jahre pl.
die besten zehn
beste Schätzung
bester Freund | beste Freundin
beste Note
beste Qualität
beste Qualität
beste Qualität
beste Qualität
beste Qualität
","die Weltformel pl.: die Weltformeln
Internet der Dinge
Internet der Dinge
",,"lustige Geschichte
lustige Ader
","wichtiges Recht
wichtiges Produkt
wichtige Persönlichkeit
wichtige Persönlichkeit
wichtige Person
wichtige Person
wichtigster Grundsatz
wichtige Bereiche
wichtige Ergebnisse
wichtige Erkenntnisse
wichtige Führungskraft
wichtige Meinungsbildner
wichtigste Botschaft
wichtigste Ergebnisse
","die anderen (or: Anderen)
anderes Ich
Abgabe an ein anderes Gericht
Beikonsum anderer Suchtmittel [Drugs]
Inspektion mittels anderer Methoden [Hoisting Technology]
Rechtsträger anderer Rechtsform
Inhaber anderer Kreditkarten
Wechselwirkung mit anderen Mitteln
Durchführung in einem anderen Werk
Störung von einem anderen Sender
Vortäuschen einer anderen IP-Adresse
Berührung mit anderen Ladungen
Versendung von Waren in ein anderes Land
Außenhandelspolitik zu Lasten anderer Länder - Ausplünderung deines Nachbarn
","neues Mitglied
neues Mitglied
neues Mitglied
neues Brüderchen
neues Schwesterchen
neues Unternehmen
neues Wagnis
neues Forschungsgebiet
neues Steuerungsmodell
neues Handelssegment
neues Zahlungsverfahren
neues Geschäft
Neues Testament [Bible]
Neues Steuerungsmodell [abbr.: NSM]
","die neuen Bundesländer pl.
das neue Jahr
neue Auflage
neue Darlegung
neue Darlegung
neues Mitglied
neues Mitglied
neues Mitglied
neue Belebung
neue Gültigkeit
neue Konzeption
neue Stadt
neue Stadt
neue Übersetzung
"
noun_details,english,,"article: 1.
word: Klasse
genus: 
plural: Klasse
","article: der
word: Junge
genus: MASC
plural: die Jungen/die Jungs
","article: der,
word: die,
genus: 
plural: 
","article: Internationaler
word: Frauentag
genus: 
plural: März
","article: der,
word: die,
genus: 
plural: 
","article: der,
word: die,
genus: 
plural: 
","article: die
word: Weltformel
genus: FEMI
plural: die Weltformeln
",,"article: lustige
word: Geschichte
genus: 
plural: Geschichte
","article: wichtiges
word: Recht
genus: 
plural: Recht
","article: die
word: anderen
genus: FEMI
plural: Anderen)
","article: neues
word: Mitglied
genus: 
plural: Mitglied
","article: die
word: neuen
genus: FEMI
plural: 
"
noun_details,german,,,,,,,,,,,,,,
adjectives_or_adverbs,english,"of capital importance
","A one (or: A-one, A 1, A-1) [coll.] adj.
on a scale of 1 : x
","young adj.
emerging adj.
youthful adj.
fledgling - used before noun - new adj.
juvenescent adj.
juvenile adj. [GEOL.]
recent adj.
junior adj.
younger adj.
afterborne adj.
junior adj.
uppermost adj. [GEOL.]
youngish adj.
ageless adj.
","best adj.
all-American adj. [SPORT.]
well adj. adv.
all right - without problems
good adj. - better, best
best adv.
best adj.
characterful adj.
sound adj.
good adj. [EDUC.]
superior (to sth.) adj.
improved adj.
at best [FINAN.]
at the market [FINAN.]
","international adj.
cosmopolitan adj.
cross-country adj.
multinational adj.
intergovernmental adj.
international adj.
inter-country adj.
interstate adj.
internationally known
internationally active
internationally accepted
in international trade
under international law
according to international law
","best adj.
all-American adj. [SPORT.]
best adv.
at best [FINAN.]
at the market [FINAN.]
best-known adj.
in one's prime
in the prime of life
most suitable
in one's prime
at peak time
best-dressed adj.
best-dressed adj.
at best
","best adv.
best adj.
well adj. adv.
all right - without problems
good adj. - better, best
characterful adj.
sound adj.
all-American adj. [SPORT.]
good adj. [EDUC.]
superior (to sth.) adj.
improved adj.
at best [FINAN.]
at the market [FINAN.]
in one's prime
","in spite of everything
in spite of everything
on top of everything
","everywhere adv.
everywhere adv.
everywhere adv.
everywhere adv.
everywhere adv.
everywhere adv.
everywhere adv.
almost everywhere
obtainable everywhere
","funny adj.
gay adj. - lively, cheerful dated
droll adj.
hilarious adj.
jolly adj.
merry adj.
blithe adj.
comic adj.
jocund adj.
frolicsome adj.
jocular adj.
amusing adj.
cheerful adj.
comical adj.
","important adj.
grave adj.
major adj.
significant adj.
basic adj.
big adj.
crucial adj.
fundamental adj.
necessary adj.
relevant adj.
consequential - important adj.
momentous adj.
meaningful adj.
vital adj.
","some other time
none other than
in other words
one at a time
one by one
in turn
in single file
elsewhere adv.
without prejudice to other provisions
of quite a different nature
on behalf of others
in other respects
crosstown adj.
crosstown adj.
","new adj.
novel adj.
recent adj.
nouveau adj.
fledgling - used before noun - new adj.
latest adj.
recent adj.
freshest adj.
anew adv.
another adj. pron. - different person/thing
newly constructed
reformative adj.
newly founded
newly-created adj.
","new adj.
novel adj.
recent adj.
nouveau adj.
fledgling - used before noun - new adj.
latest adj.
recent adj.
freshest adj.
anew adv.
another adj. pron. - different person/thing
newly constructed
reformative adj.
newly founded
newly-created adj.
"
adjectives_or_adverbs,german,"am wichtigsten
","erstklassig
im Maßstab 1 : x
","jung
jung
jung
jung
jung
jung - Geomorphologie
jüngster | jüngste | jüngstes
jünger
jünger
jünger
jüngerer | jüngere | jüngeres
jünger - geologische Zeitalter
ziemlich jung
ewig jung
","bester | beste | bestes
bester | beste | bestes - Sportler oder Mannschaft
gut
gut
gut - besser, am besten
am besten
günstigster | günstigste | günstigstes
gut
gut
gut - Note
besser (als etw.acc.)
besser
bestens
bestens [Stock Exchange]
","international
international
international
international
international
länderunabhängig
international
international
international bekannt
international tätig
international anerkannt
im internationalen Handel
völkerrechtlich adj.
völkerrechtlich adj.
","bester | beste | bestes
bester | beste | bestes - Sportler oder Mannschaft
am besten
bestens
bestens [Stock Exchange]
bestens bekannt
im besten Mannesalter
im besten Mannesalter
am besten geeignet
im besten Alter
zur besten Zeit
am besten angezogen
am besten gekleidet
im besten Falle
","am besten
bester | beste | bestes
gut
gut
gut - besser, am besten
gut
gut
bester | beste | bestes - Sportler oder Mannschaft
gut - Note
besser (als etw.acc.)
besser
bestens
bestens [Stock Exchange]
im besten Mannesalter
","trotz allem
trotz alledem
obendrein adv.
","überall
irgendwo
allerorten
allerorts
überallhin
allenthalben [form.] - überall
allerenden archaic
fast überall
überall erhältlich
","lustig
lustig - vernügt, fröhlich
lustig
lustig
lustig
lustig
lustig
lustig
lustig
lustig
lustig
lustig
lustig
lustig
","wichtig
wichtig
wichtig
wichtig
wichtig
wichtig
wichtig
wichtig
wichtig
wichtig
wichtig
wichtig
wichtig
wichtig
","ein anderes Mal
kein anderer als
mit anderen Worten [abbr.: m. a. W.]
einer nach dem anderen
einer nach dem anderen
einer nach dem anderen
einer hinter dem anderen
an anderer Stelle
unbeschadet anderer Vorschriften
von ganz anderer Art
im Namen anderer
in anderer Beziehung
am anderen Ende der Stadt
vom anderen Ende der Stadt
","neu
neu
neu
neu
neu
neuester | neueste | neuestes or: neuster | neuste | neustes
neuester | neueste | neuestes or: neuster | neuste | neustes
neuester | neueste | neuestes or: neuster | neuste | neustes
aufs Neue
ein neuer | eine neue | ein neues
neu erbaut
neu bildend
neu gegründet
neu gegründet
","neu
neu
neu
neu
neu
neuester | neueste | neuestes or: neuster | neuste | neustes
neuester | neueste | neuestes or: neuster | neuste | neustes
neuester | neueste | neuestes or: neuster | neuste | neustes
aufs Neue
ein neuer | eine neue | ein neues
neu erbaut
neu bildend
neu gegründet
neu gegründet
"
