TODO: add the person
INDEX,ENTRY,GENDER,NUMERUS,CASE,CATEGORY
1,der,masc,sing,nom,ART
2,den,masc,sing,acc,ART
3,dem,masc,sing,dat,ART
4,des,masc,sing,gen,ART
5,die,fem,sing,nom,ART
6,die,fem,sing,acc,ART
7,der,fem,sing,dat,ART
8,der,fem,sing,gen,ART
9,das,neut,sing,nom,ART
10,das,neut,sing,acc,ART
11,dem,neut,sing,dat,ART
12,des,neut,sing,gen,ART
13,die,noGender,plu,nom,ART
14,die,noGender,plu,acc,ART
15,den,noGender,plu,dat,ART
16,der,noGender,plu,gen,ART
17,ein,masc,sing,nom,ART
18,einen,masc,sing,acc,ART
19,einem,masc,sing,dat,ART
20,eines,masc,sing,gen,ART
21,eine,fem,sing,nom,ART
22,eine,fem,sing,acc,ART
23,einer,fem,sing,dat,ART
24,einer,fem,sing,gen,ART
25,ein,neut,sing,nom,ART
26,ein,neut,sing,acc,ART
27,einem,neut,sing,dat,ART
28,eines,neut,sing,gen,ART
29,mein,masc,sing,nom,ART
30,meinen,masc,sing,acc,ART
31,meinem,masc,sing,dat,ART
32,meines,masc,sing,gen,ART
33,meine,fem,sing,nom,ART
34,meine,fem,sing,acc,ART
35,meiner,fem,sing,dat,ART
36,meiner,fem,sing,gen,ART
37,mein,neut,sing,nom,ART
38,mein,neut,sing,acc,ART
39,meinem,neut,sing,dat,ART
40,meines,neut,sing,gen,ART
41,dein,masc,sing,nom,ART
42,deinen,masc,sing,acc,ART
43,deinem,masc,sing,dat,ART
44,deines,masc,sing,gen,ART
45,deine,fem,sing,nom,ART
46,deine,fem,sing,acc,ART
47,deiner,fem,sing,dat,ART
48,deiner,fem,sing,gen,ART
49,dein,neut,sing,nom,ART
50,dein,neut,sing,acc,ART
51,deinem,neut,sing,dat,ART
52,deines,neut,sing,gen,ART
53,sein,masc,sing,nom,ART
54,seinen,masc,sing,acc,ART
55,seinem,masc,sing,dat,ART
56,seines,masc,sing,gen,ART
57,seine,fem,sing,nom,ART
58,seine,fem,sing,acc,ART
59,seiner,fem,sing,dat,ART
60,seiner,fem,sing,gen,ART
61,sein,neut,sing,nom,ART
62,sein,neut,sing,acc,ART
63,seinem,neut,sing,dat,ART
64,seines,neut,sing,gen,ART
65,ihr,masc,sing,nom,ART
66,ihren,masc,sing,acc,ART
67,ihrem,masc,sing,dat,ART
68,ihres,masc,sing,gen,ART
69,ihre,fem,sing,nom,ART
70,ihre,fem,sing,acc,ART
71,ihrer,fem,sing,dat,ART
72,ihrer,fem,sing,gen,ART
73,ihr,neut,sing,nom,ART
74,ihr,neut,sing,acc,ART
75,ihrem,neut,sing,dat,ART
76,ihres,neut,sing,gen,ART
77,unser,masc,sing,nom,ART
78,unseren,masc,sing,acc,ART
79,unserem,masc,sing,dat,ART
80,unseres,masc,sing,gen,ART
81,unsere,fem,sing,nom,ART
82,unsere,fem,sing,acc,ART
83,unserer,fem,sing,dat,ART
84,unserer,fem,sing,gen,ART
85,unser,neut,sing,nom,ART
86,unser,neut,sing,acc,ART
87,unserem,neut,sing,dat,ART
88,unseres,neut,sing,gen,ART
89,euer,masc,sing,nom,ART
90,euren,masc,sing,acc,ART
91,eurem,masc,sing,dat,ART
92,eures,masc,sing,gen,ART
93,eure,fem,sing,nom,ART
94,eure,fem,sing,acc,ART
95,eurer,fem,sing,dat,ART
96,eurer,fem,sing,gen,ART
97,euer,neut,sing,nom,ART
98,euer,neut,sing,acc,ART
99,eurem,neut,sing,dat,ART
100,eures,neut,sing,gen,ART
