aspects,language,aus,und,Seit,seit,in,mit,von
basic_forms,english,,,,,,,
basic_forms,german,,,,,,,
verbs,english,"to power cycle sth. [coll.] [ELEC.]
","to criss-cross or: crisscross | criss-crossed, criss-crossed / crisscrossed, crisscrossed |
to be common practice
to outtalk so. | outtalked, outtalked |
",,,"to have sth. down pat
to have sth. off pat
to know sth. inside out
to have sth. down cold [coll.] chiefly (Amer.)
",,
verbs,german,"etw.acc. aus- und wieder einschalten | schaltete aus, ausgeschaltet |
","kreuz und quer verlaufen
gang und gäbe sein
jmdn. in Grund und Boden reden
",,,"etw.acc. in- und auswendig können
etw.acc. in- und auswendig können
etw.acc. in- und auswendig kennen
etw.acc. in- und auswendig können
",,
nouns,english,"off
cross (between) [BIOL.]
oak-log
off kilter
bio-dimethyl ether [abbr.: BioDME] [TECH.]
bio dimethyl ether [CHEM.]
loss resulting from ...
residue-derived fuel [abbr.: RDF] [ENV.]
waste-derived fuel [abbr.: WDF] [ENV.]
chemical vaporAE deposition [abbr.: CVD] [ENV.]chemical vapourBE deposition [abbr.: CVD] [ENV.]
chemical vaporAE deposition [abbr.: CVD] [ENV.]chemical vapourBE deposition [abbr.: CVD] [ENV.]
off state
idle position
off-position
","ampersand [COMM.]
aphthous fever [MED.]
foot-and-mouth disease [MED.]
ampersand
conjunction [TECH.]
AND-function [TECH.]
AND element [COMP.][ELEC.]
AND gate [COMP.][ELEC.]
AND element [COMP.][ELEC.]
AND gate [COMP.][ELEC.]
AND element [COMP.][ELEC.]
AND gate [COMP.][ELEC.]
logical AND circuit [COMP.]
AND dependency [COMP.][ELEC.]
","year-to-date [abbr.: YTD]
long-time resident
","year-to-date [abbr.: YTD]
long-time resident
","the ins pl. (Amer.) [POL.]
belief (in so./sth.)
faith (in sth.)
share (in sth.)
faith (in so./sth.)
faith (in so./sth.)
single-handedly
in tray (or: in-tray)
in tray (or: in-tray)
in tray (or: in-tray)
in tatters
in tatters
in connection
on the side - position of a body
","to make so. happy (with sth.)
in one fell swoop
stayer
to give so. the pleasure of sth.
accord (with)
similarity (to)
exposure (to)
compliance (with)
exposure (to sth.)
border with Hungary/Germany/Austria
the matter with sth.
preoccupation with sth.
limited liability company [COMM.]
limited company (Brit.) [COMM.]
","view (from)
end (of sth.)
sum (of)
absence (of)
number (of) also [TECH.]
content (of sth.)
knowledge (of)
purpose (of)
thousands of
storage (of)
exclusion (from)
absence (of)
dearth (of)
lack (of)
"
nouns,german,"das Aus pl.: die Aus
die Mischung (aus) pl.: die Mischungen
aus Eichenstämmen
aus dem Gleichgewicht
aus Biomasse dargestellter Dimethylether [abbr.: DME]
aus Biomasse dargestellter Dimethylether [abbr.: DME]
der Verlust aus ... pl.: die Verluste
Brennstoff aus Müll [abbr.: BRAM]
Brennstoff aus Müll [abbr.: BRAM]
chemische Abscheidung aus der Dampfphase [abbr.: CVD]
chemische Abscheidung aus der Gasphase [abbr.: CVD]
der Aus-Zustand pl.: die Aus-Zustände
die Aus-Stellung pl.: die Aus-Stellungen
die Aus-Stellung pl.: die Aus-Stellungen
","kaufmännisches Und
die Maul- und Klauenseuche [abbr.: MKS] Lat.: Febris aphthosa [Veterinary Medicine]
die Maul- und Klauenseuche [abbr.: MKS] Lat.: Aphthae epizooticae [Veterinary Medicine]
das Und-Zeichen pl.: die Und-Zeichen
die UND-Funktion pl.: die UND-Funktionen
die UND-Funktion pl.: die UND-Funktionen
das UND-Gatter pl.: die UND-Gatter
das UND-Gatter pl.: die UND-Gatter
das UND-Glied
das UND-Glied
die UND-Schaltung
die UND-Schaltung
die UND-Schaltung
die UND-Abhängigkeit
","seit Jahresbeginn
seit längerem (or: Längerem) Ansässiger
","seit Jahresbeginn
seit längerem (or: Längerem) Ansässiger
","die Regierungspartei pl.: die Regierungsparteien
der Glaube rarely: Glauben (an jmdn./etw.) no plural
der Glaube rarely: Glauben (an etw.acc.) no plural
der Anteil (an etw.dat.) pl.: die Anteile
das Vertrauen (auf jmdn./etw.) no plural
das Vertrauen (in jmdn./etw.) no plural
in Eigenregie
der Posteingang pl.: die Posteingänge
Ablagekorb für eingehende Post
der Eingangskorb pl.: die Eingangskörbe
am Ende
zunichte
im Zusammenhang
in Seitenlage
","jmdn. (mit etw.dat.) beglücken
mit einem Schlag
jmd. mit Ausdauer
jmdn. mit etw.dat. beglücken
die Übereinstimmung (mit) pl.: die Übereinstimmungen
die Ähnlichkeit (mit) pl.: die Ähnlichkeiten
der Kontakt (mit) +dat. pl.: die Kontakte
das Einverständnis (mit) pl.: die Einverständnisse
der Umgang (mit etw.dat.) no plural
Grenze zu (or: mit) Ungarn/Deutschland/Österreich
das Problem mit etw.dat. pl.: die Probleme
die Beschäftigung mit etw.dat. no plural
Gesellschaft mit beschränkter Haftung [abbr.: GmbH]
Gesellschaft mit beschränkter Haftung [abbr.: GmbH]
","der Blick (von) pl.: die Blicke
das Ende (von etw.dat. (or: einer Sachegen.)) pl.
die Summe (von) pl.: die Summen
die Abwesenheit (von) pl.: die Abwesenheiten
die Anzahl (von) pl.
der Gehalt (von etw.dat.) pl.
die Kenntnis (von) no plural
der Zweck (von) pl.: die Zwecke
Tausende (or: tausende) von +dat.
die Aufbewahrung (von) pl.: die Aufbewahrungen
der Ausschluss (von) pl.: die Ausschlüsse
das Fehlen (von) no plural
das Fehlen (von) no plural
das Fehlen (von) no plural
"
noun_details,english,"article: Das
word: Aus
genus: NEUT
plural: die Aus
meaning: off
cross (between) [BIOL.]
","article: kaufmännisches
word: Und
genus: 
plural: Und
meaning: ampersand [COMM.]
aphthous fever [MED.]
","article: seit
word: Jahresbeginn
genus: 
plural: Jahresbeginn
meaning: year-to-date [abbr.: YTD]
long-time resident
","article: seit
word: Jahresbeginn
genus: 
plural: Jahresbeginn
meaning: year-to-date [abbr.: YTD]
long-time resident
","article: die
word: Regierungspartei
genus: FEMI
plural: die Regierungsparteien
meaning: the ins pl. (Amer.) [POL.]
belief (in so./sth.)
","article: jmdn.
word: (mit
genus: 
plural: beglücken
meaning: to make so. happy (with sth.)
in one fell swoop
","article: der
word: Blick
genus: MASC
plural: Vons
meaning: view (from)
end (of sth.)
"
noun_details,german,,,,,,,
adjectives_or_adverbs,english,"off adj. adv. [TECH.]
out adj. - finished
over adv. - finished
all over
out of bounds
out of curiosity
by accident
accidentally adv.
inadvertently adv.
by mistake
by an oversight
through an oversight
Cornish adj.
ebony adj.
","and so forth
and so forth
and so on
et cetera (or: etcetera) adv. [abbr.: etc.]
on the whole
in the main
by and large
generally speaking
overall adj. adv.
thoroughly adv.
to the full
out-and-out adj.
quintessentially adv.
to the core
","from time immemorial
since the beginning of time
since time immemorial
for a short time
as of late
for a long time
all along
always adv.
since time immemorial
as of late
for hundreds of years
from time immemorial
for ages [coll.]
for yonks (Brit.) [coll.]
","from time immemorial
since the beginning of time
since time immemorial
for a short time
as of late
for a long time
all along
always adv.
since time immemorial
as of late
for hundreds of years
from time immemorial
for ages [coll.]
for yonks (Brit.) [coll.]
","in adv.
in adv.
hot adj. [coll.]
rolled into one
in adj. [AVIAT.]
inner adj.
inner adj.
inner adj.
inner adj. [fig.]
inner adj. [fig.]
inner adj. [fig.]
in time (for)
in vain
in vain
","too adv.
also adv.
one of the - + superlative
by bike/bus/train/tube
certainly adv.
together (with) adv.
married (to so.) adj.
on purpose
comparable (to (or: with)) adj.
interchangeable (with sth.) adj.
by design
designedly adv.
deliberately adv.
with intent
","free (from) adj.
due to sth.
anew adv.
afresh adv.
extraneous adj.
from the outside
of note
of importance
relevant adj.
manually adv.
by hand
manual adj.
always adv.
from time immemorial
"
adjectives_or_adverbs,german,"aus adv.
aus adv.
aus
aus adv.
im Aus
aus Neugier (or: Neugierde)
aus Versehen
aus Versehen
aus Versehen
aus Versehen
aus Versehen
aus Versehen
aus Cornwall
aus Ebenholz
","und so fort [abbr.: usf.]
und so weiter [abbr.: usw.]
und so weiter [abbr.: usw.]
und so weiter [abbr.: usw.]
im Großen und Ganzen
im Großen und Ganzen
im Großen und Ganzen
im Großen und Ganzen
im Großen und Ganzen
durch und durch
durch und durch
durch und durch
durch und durch
durch und durch
","seit Menschengedenken
seit Menschengedenken
seit Menschengedenken
seit Kurzem (or: kurzem)
seit Kurzem (or: kurzem)
seit langem (or: Langem)
seit jeher
seit jeher
seit jeher
seit Neuestem (or: neuestem)
seit Jahrhunderten
seit Urzeiten
seit Ewigkeiten
seit Ewigkeiten
","seit Menschengedenken
seit Menschengedenken
seit Menschengedenken
seit Kurzem (or: kurzem)
seit Kurzem (or: kurzem)
seit langem (or: Langem)
seit jeher
seit jeher
seit jeher
seit Neuestem (or: neuestem)
seit Jahrhunderten
seit Urzeiten
seit Ewigkeiten
seit Ewigkeiten
","hinein
herein
in [sl.]
in einem
eingeschaltet
inner
Innen...
inwendig
innerlich
verborgen
geheim
rechtzeitig (zu)
umsonst adv.
vergeblich
","mit - ebenfalls, auch
mit - ebenfalls, auch
mit - + Superlativ
mit dem Fahrrad/dem Bus/dem Zug/der U-Bahn
mit Sicherheit
zusammen (mit)
verheiratet (mit jmdm.)
mit Absicht
vergleichbar (mit +dat.)
(mit etw.dat.) austauschbar
mit Absicht
mit Absicht
mit Absicht
mit Absicht
","frei (von)
aufgrund (or: auf Grund) von etw.dat. - gefolgt von Substantiv ohne Artikel und Attribut
von neuem (or: Neuem)
von neuem (or: Neuem)
von außen
von außen
von Bedeutung
von Bedeutung
von Bedeutung
von Hand
von Hand
von Hand
von jeher
von jeher - seit unvordenklichen Zeiten
"
